"vramHash1",  "vramHash2",  "title",              "dmaFix", "comment"
"0xd6bc01c4", "0x777fa9b9", "BAKENOH TV",         "0x0000", "Bakenou TV '94 (Japan)"
"0x7e18fa94", "0x696463fc", "BAKENOH V3",         "0x0000", "Bakenou V3 (Japan)"
"0x660ce13f", "0x6132f84c", "BAKENOU",            "0x0000", "Ippatsu Gyakuten! DX Bakenou (Japan)"
"0xc82a3e23", "0xba1a95d7", "BAKENOUZ",           "0x0000", "DX Bakenou Z (Japan) (Rev A), DX Bakenou Z (Japan)"
"0x874796c6", "0x9437a5d9", "BALLOON KID",        "0x0000", "Balloon Kid (USA, Europe)"
"0x4c94df5a", "0x905a32d8", "BAMSE",              "0x0000", "Bamse (Sweden)"
"0x59adfd6b", "0x9281d109", "BANISHING RACE",     "0x0000", "Banishing Racer (Japan)"
"0x94bf5172", "0x60276348", "BARBIE GAME GI",     "0x0000", "Barbie - Game Girl (USA, Europe)"
"0x321f4a23", "0xad769d0c", "BASE BALL KIDS",     "0x0000", "Baseball Kids (Japan)"
"0x58891940", "0x538124a0", "BASEBALL",           "0x0000", "Baseball (World)"
"0x2e9e2303", "0xb2c74ec1", "BASES LOADED G",     "0x0000", "Bases Loaded for Game Boy (USA)"
"0x91eab4a0", "0x037441d6", "BASS POCKET 2",      "0x0000", "Super Black Bass Pocket 2 (Japan)"
"0xa23f896a", "0x9123b1fe", "BATAILLE NAVAL",     "0x0000", "Bataille Navale (France) (En,Fr,De,Es)"
"0x7303dc07", "0x689477a9", "BATMAN",             "0x0000", "Batman - The Video Game (World)"
"0xf7bf13f7", "0xce94a749", "BATMAN ANIMATE",     "0x0000", "Batman - The Animated Series (USA, Europe)"
"0x23c0e2b5", "0xaa765508", "BATMAN FOREVER",     "0x0000", "Batman Forever (Japan)"
"0x2e850e36", "0x8ee1e622", "BATMAN FOREVER",     "0x0000", "Batman Forever (USA, Europe)"
"0x69decc47", "0xe4eead0c", "BATMAN ROJ",         "0x0000", "Batman - Return of the Joker (Japan), Batman - Return of the Joker (USA, Europe)"
"0x3ffb5da5", "0xb3c0f628", "BATTLE BULL",        "0x0000", "Battle Bull (Japan), Battle Bull (USA)"
"0x4c785b76", "0x7d595d9a", "BATTLE CRUSHER",     "0x0000", "Battle Crusher (Japan)"
"0x0c3bb89b", "0xcb4bec66", "BATTLE DODGEBA",     "0x0000", "Battle Dodge Ball (Japan)"
"0x6f662413", "0x9ba38021", "BATTLE OFKINGD",     "0x0000", "Battle of Kingdom (Japan)"
"0xb841d610", "0x723a934f", "BATTLE PINGPON",     "0x0000", "Battle Pingpong (Japan)"
"0x45985a6b", "0xc1908b0a", "BATTLE SHIP",        "0x0000", "Battleship (USA, Europe)"
"0x57b384bb", "0x969c88c2", "BATTLE SPACE",       "0x0000", "Battle Space (Japan)"
"0x9cb9e2bd", "0x337a7480", "BATTLECITY",         "0x0000", "BattleCity (Japan)"
"0x4716d4a5", "0x448e6c0f", "BATTLETOADS",        "0x0000", "Battletoads (USA, Europe)"
"0x9de388c9", "0x24c434c1", "BATTLETOADS",        "0x0000", "Battletoads (Japan)"
"0xbb74a003", "0x5f061cc5", "BATTLEUNIT ZEO",     "0x0000", "Battle Unit Zeoth (USA, Europe)"
"0x844e51fe", "0xfb8ea2b9", "BEACH,VOLLEYBA",     "0x0000", "Malibu Beach Volleyball (USA)"
"0x1f6e009c", "0xafb38657", "BEACH_VOLLEY",       "0x0000", "Nekketsu! Beach Volley Da yo Kunio-kun (Japan)"
